iter	Passed	Remaining
0	143	143833
1	145	72588
2	147	48970
3	149	37283
4	151	30131
5	153	25416
6	155	22060
7	157	19522
8	159	17551
9	161	15982
10	164	14768
11	166	13731
12	168	12821
13	170	12038
14	173	11370
15	175	10767
16	177	10257
17	179	9774
18	180	9344
19	182	8948
20	184	8584
21	185	8254
22	186	7941
23	188	7659
24	189	7391
25	190	7155
26	192	6932
27	193	6725
28	194	6527
29	195	6335
30	196	6155
31	198	5997
32	199	5849
33	200	5703
34	201	5561
35	202	5424
36	203	5292
37	204	5171
38	205	5060
39	206	4952
40	207	4852
41	208	4753
42	209	4657
43	209	4561
44	210	4472
45	211	4385
46	212	4302
47	212	4222
48	213	4148
49	214	4075
50	215	4005
51	215	3936
52	216	3870
53	217	3806
54	218	3746
55	218	3689
56	219	3637
57	220	3583
58	221	3532
59	222	3488
60	223	3444
61	224	3397
62	225	3351
63	226	3306
64	226	3261
65	227	3218
66	228	3176
67	228	3135
68	229	3096
69	230	3057
70	230	3020
71	231	2985
72	232	2950
73	233	2916
74	234	2886
75	234	2856
76	235	2828
77	236	2798
78	237	2768
79	238	2740
80	239	2712
81	239	2685
82	240	2654
83	240	2626
84	241	2601
85	242	2576
86	243	2552
87	243	2528
88	244	2504
89	245	2479
90	245	2457
91	246	2434
92	247	2412
93	248	2391
94	248	2371
95	250	2354
96	251	2338
97	252	2320
98	252	2301
99	253	2282
100	254	2263
101	255	2245
102	255	2228
103	256	2209
104	257	2192
105	257	2174
106	258	2156
107	259	2139
108	259	2122
109	260	2105
110	260	2088
111	261	2072
112	262	2056
113	262	2042
114	263	2028
115	264	2015
116	265	2003
117	266	1992
118	267	1979
119	268	1966
120	268	1952
121	269	1938
122	270	1925
123	270	1913
124	271	1900
125	272	1887
126	272	1874
127	273	1862
128	274	1850
129	274	1837
130	275	1825
131	275	1813
132	276	1801
133	276	1789
134	277	1779
135	278	1770
136	279	1763
137	280	1755
138	281	1746
139	282	1736
140	283	1726
141	283	1715
142	284	1705
143	285	1695
144	286	1686
145	286	1677
146	287	1668
147	288	1658
148	288	1648
149	289	1639
150	289	1630
151	290	1621
152	291	1613
153	291	1603
154	292	1596
155	293	1589
156	294	1581
157	295	1575
158	296	1569
159	297	1561
160	298	1553
161	298	1545
162	299	1537
163	300	1529
164	300	1521
165	301	1514
166	302	1507
167	302	1500
168	303	1492
169	304	1484
170	304	1477
171	305	1472
172	306	1465
173	307	1458
174	308	1452
175	308	1446
176	310	1442
177	311	1437
178	312	1431
179	312	1425
180	313	1418
181	314	1412
182	315	1407
183	315	1401
184	316	1394
185	317	1388
186	317	1382
187	318	1375
188	319	1369
189	319	1363
190	320	1357
191	321	1350
192	321	1345
193	322	1341
194	323	1335
195	324	1332
196	325	1328
197	326	1323
198	327	1318
199	328	1312
200	328	1307
201	329	1302
202	330	1297
203	331	1292
204	331	1286
205	332	1281
206	333	1276
207	333	1270
208	334	1265
209	334	1260
210	335	1255
211	337	1252
212	337	1248
213	338	1244
214	339	1241
215	341	1238
216	341	1233
217	342	1229
218	343	1225
219	344	1220
220	345	1216
221	345	1211
222	346	1206
223	346	1201
224	347	1197
225	348	1192
226	348	1187
227	349	1183
228	350	1178
229	350	1174
230	351	1169
231	352	1166
232	353	1163
233	354	1160
234	355	1157
235	356	1154
236	357	1150
237	358	1146
238	358	1142
239	359	1138
240	360	1134
241	361	1131
242	362	1129
243	363	1125
244	363	1121
245	364	1117
246	365	1113
247	366	1110
248	366	1106
249	367	1103
250	369	1102
251	370	1100
252	371	1097
253	372	1093
254	373	1090
255	373	1086
256	375	1084
257	375	1080
258	376	1077
259	377	1074
260	378	1071
261	378	1067
262	379	1063
263	380	1060
264	380	1056
265	381	1053
266	382	1050
267	383	1046
268	384	1044
269	385	1041
270	386	1038
271	386	1035
272	388	1033
273	388	1030
